               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074401,             0.03576,            0.027174,             0.29428,             0.40483,             0.25068,            0.082112,             0.04943,            0.024939,            0.025878,            0.070312,           0.0032986,           0.0032986
                   1,            0.053106,            0.031513,             0.02564,             0.37995,             0.71831,             0.42127,             0.18678,            0.041468,            0.019563,            0.025675,            0.040272,           0.0065912,           0.0065912
                   2,            0.051142,            0.025266,             0.02539,             0.41733,             0.67787,             0.43739,             0.17148,            0.047644,            0.016334,            0.025592,             0.01019,           0.0098427,           0.0098427
                   3,            0.044928,            0.021388,            0.025069,              0.4161,             0.76742,               0.461,             0.16832,            0.038873,            0.014983,            0.025466,           0.0098155,           0.0098155,           0.0098155
                   4,            0.040727,            0.018327,            0.023638,             0.57134,             0.69186,             0.64431,              0.3255,             0.03515,             0.01224,            0.022056,           0.0098155,           0.0098155,           0.0098155
                   5,            0.036915,            0.017419,            0.019979,             0.66848,             0.76847,             0.72606,             0.35255,            0.040395,            0.012748,            0.017189,            0.009754,            0.009754,            0.009754
                   6,            0.035396,            0.016776,            0.017564,             0.72886,             0.77113,             0.75921,             0.40033,            0.037559,            0.011408,              0.0162,           0.0096925,           0.0096925,           0.0096925
                   7,            0.033583,            0.016222,            0.015962,             0.66614,             0.75432,             0.73715,             0.35648,              0.0351,            0.012641,            0.017993,           0.0096311,           0.0096311,           0.0096311
                   8,            0.032862,            0.015927,            0.014767,             0.84071,             0.76487,             0.78671,             0.40427,             0.03474,            0.011387,             0.01249,           0.0095696,           0.0095696,           0.0095696
                   9,            0.031326,            0.015974,            0.014301,             0.81179,             0.80683,             0.83818,             0.50444,            0.030215,            0.011194,            0.010476,           0.0095081,           0.0095081,           0.0095081
                  10,            0.030715,            0.015363,            0.013547,             0.83004,             0.83457,             0.84458,             0.52472,            0.027662,            0.010187,            0.011675,           0.0094466,           0.0094466,           0.0094466
                  11,             0.03001,            0.015063,            0.012864,               0.864,             0.86359,             0.86432,             0.46431,            0.033016,            0.010932,           0.0082194,           0.0093851,           0.0093851,           0.0093851
                  12,            0.029319,            0.014612,            0.012203,             0.84457,             0.88044,             0.87544,              0.5239,              0.0285,           0.0099084,           0.0078071,           0.0093236,           0.0093236,           0.0093236
                  13,            0.028339,            0.014493,            0.012051,             0.85563,             0.83881,             0.86407,             0.51397,            0.028017,            0.011433,             0.00761,           0.0092621,           0.0092621,           0.0092621
                  14,            0.027762,            0.014497,            0.011104,             0.81984,             0.84165,             0.83434,             0.53013,            0.026342,            0.010392,            0.011508,           0.0092006,           0.0092006,           0.0092006
                  15,            0.027194,            0.014357,            0.011238,             0.76539,             0.85426,             0.84109,             0.54765,            0.023922,           0.0090953,            0.013091,           0.0091391,           0.0091391,           0.0091391
                  16,            0.026968,            0.014211,            0.010975,             0.89701,             0.88852,             0.88861,             0.62676,            0.024574,           0.0093861,           0.0063085,           0.0090776,           0.0090776,           0.0090776
                  17,             0.02627,            0.013932,            0.010643,             0.88724,             0.84059,             0.87178,              0.5924,            0.023977,            0.010388,           0.0076327,           0.0090161,           0.0090161,           0.0090161
